dataset,model,train_windows,val_windows,test_windows,look_back,horizon,training_time,inference_time,parameter_count,status,MAE,RMSE,MSE,R2,Skill_MAE
DD-EN-09#.xls,DeBiaFuseV2-direct,722,102,210,24,6,56.26998608299982,0.07783700000072713,127500,ok,2.7676117420196533,3.697574624732914,13.67205810546875,0.349540114402771,-0.35115484568671107
DD-ES-09#.xls,DeBiaFuseV2-direct,722,102,210,24,6,56.338163208998594,0.08325720899665612,127500,ok,3.435258626937866,4.356611572321985,18.980064392089844,0.1511043906211853,-0.5714303787514667
DD-WN-09#.xls,DeBiaFuseV2-direct,722,102,210,24,6,55.92210845799855,0.06992191600147635,127500,ok,2.394639015197754,3.2903087728477263,10.826131820678711,0.124245285987854,-0.36380126809417224
DD-WS-09#.xls,DeBiaFuseV2-direct,722,102,210,24,6,56.19957804200021,0.07090850000167848,127500,ok,3.646320343017578,4.5730485600225395,20.91277313232422,0.08557772636413574,-0.4712642793561397
