dataset,model,train_windows,val_windows,test_windows,look_back,horizon,training_time,inference_time,parameter_count,status,MAE,RMSE,MSE,R2,Skill_MAE,MAE@1,Skill@1,MAE@2,Skill@2,MAE@3,Skill@3,MAE@4,Skill@4,MAE@5,Skill@5,MAE@6,Skill@6,MAE@7,Skill@7,MAE@8,Skill@8,MAE@9,Skill@9,MAE@10,Skill@10,MAE@11,Skill@11,MAE@12,Skill@12,MAE@13,Skill@13,MAE@14,Skill@14,MAE@15,Skill@15,MAE@16,Skill@16,MAE@17,Skill@17,MAE@18,Skill@18,MAE@19,Skill@19,MAE@20,Skill@20,MAE@21,Skill@21,MAE@22,Skill@22,MAE@23,Skill@23,MAE@24,Skill@24,MAE@25,Skill@25,MAE@26,Skill@26,MAE@27,Skill@27,MAE@28,Skill@28,MAE@29,Skill@29,MAE@30,Skill@30
DD-EN-09#.xls,DeBiaFuseV2-residual,695,83,196,60,30,70.33132054200178,0.17110895799851278,235068,ok,2.4631574153900146,3.102752226752119,9.627071380615234,0.28041529655456543,-0.11356575377370826,0.9169538617134094,-0.391663407768291,1.210249423980713,-0.08265186205778652,1.74570631980896,-0.24389994876276333,3.4807190895080566,-1.2069653707260266,1.9059078693389893,-0.10728459777400534,2.4698405265808105,-0.3715833754370579,2.0065579414367676,-0.08126489834628847,2.0768027305603027,-0.087750172935672,1.8732240200042725,0.003343680192002485,3.1217448711395264,-0.7318468880105464,2.340383768081665,-0.3448606346543923,2.1773712635040283,-0.22116680372532116,1.7672520875930786,0.05685716456042167,1.8834655284881592,0.052376081064643976,3.3854868412017822,-0.5982012729774844,2.188814878463745,0.008729027734257877,4.076441764831543,-0.7390122218194526,4.23905611038208,-0.6757856802002435,2.2965681552886963,0.1258259953122699,2.532005548477173,0.0544164579245191,2.961603879928589,-0.09367628754644008,2.683682918548584,0.006482122704535076,2.4387271404266357,0.10145130089657539,2.211257219314575,0.20172270218511623,2.5423624515533447,0.1006653940606057,2.3665645122528076,0.17211300829072096,3.10115385055542,-0.07157699704778775,2.37064790725708,0.20696796916311155,2.978297710418701,0.03528456507633382,2.5458662509918213,0.20277308665755822
DD-ES-09#.xls,DeBiaFuseV2-residual,695,83,196,60,30,75.67750208299913,0.17772220899860258,235068,ok,2.2876505851745605,2.9148309834654924,8.49623966217041,0.4221070408821106,0.03364335645178962,1.1675083637237549,-0.6266033792258072,1.524720311164856,-0.26596085208478093,2.1185436248779297,-0.40013267343269665,2.4657580852508545,-0.4390536547464199,1.8350223302841187,0.014852018364259423,1.9574090242385864,0.0036527613396371006,2.0506346225738525,-0.01816891926525499,2.537278413772583,-0.22537413109585835,2.1957039833068848,-0.08645168109830426,2.0896592140197754,-0.07473981323338985,1.8501695394515991,0.01565298738199361,1.9356281757354736,-0.000943661532501805,2.014981985092163,0.007068112159300588,2.0994627475738525,0.02479048430977382,2.033902645111084,0.10572047903694459,2.198132038116455,0.07375456736492803,2.1796374320983887,0.12975741129049756,2.163729667663574,0.19896595896158453,2.5103957653045654,0.10436497506445475,2.3084216117858887,0.19468577995081393,2.389920473098755,0.17706058662364377,2.790123462677002,0.035962396142078745,2.7183890342712402,0.06468092262447989,2.9232075214385986,0.007099090058342417,2.71120285987854,0.09547950898725144,2.666027069091797,0.1189145958927802,2.8349783420562744,0.07532881660239221,2.6084578037261963,0.17172321368817567,2.8577351570129395,0.1186292093339546,2.89277982711792,0.13518369972254773
DD-WN-09#.xls,DeBiaFuseV2-residual,695,83,196,60,30,125.9409425829981,0.17837808299736935,235068,ok,1.8318936824798584,2.338286580628686,5.467584133148193,0.233387291431427,0.012422038120145196,0.6850143671035767,-0.23233947042135594,1.0003355741500854,-0.06347508420971182,1.638471007347107,-0.39594086597851863,1.506205677986145,-0.14510339987335397,1.6542346477508545,-0.16616522896728592,2.132209539413452,-0.44101951679443974,1.6180628538131714,-0.05127252871515653,1.664490818977356,-0.05748994863705437,1.75620436668396,-0.12543004483123066,1.6784480810165405,-0.10895449786090694,1.7304915189743042,-0.16730408471574143,1.4885512590408325,0.03686372736525756,1.6920835971832275,-0.04946018059240842,1.7111411094665527,-0.0028331216456585206,1.8414101600646973,-0.032263539995859514,1.6935622692108154,0.09050844955468196,2.0247037410736084,-0.03505183137020529,1.8550052642822266,0.12140480267547049,1.7938237190246582,0.19003559224562283,2.216775417327881,0.020342644006363986,2.046653985977173,0.10755975608424873,1.8726342916488647,0.18661030943593027,1.8342559337615967,0.2181151635266141,2.113325357437134,0.10745298835470574,2.23869252204895,0.06294096055927212,2.21699857711792,0.06961131406726262,2.25602650642395,0.057852617970779896,2.2686729431152344,0.07320304904429553,2.3144736289978027,0.07782247837193157,2.413851737976074,0.07379401625237991
DD-WS-09#.xls,DeBiaFuseV2-residual,695,83,196,60,30,96.0520859169992,0.1757597079995321,235068,ok,2.3343918323516846,2.9159593723643162,8.502819061279297,0.453685462474823,0.17286076757791957,1.568747878074646,-0.8421262348717384,1.6823058128356934,-0.1865990906907804,1.92271888256073,-0.07206351023150459,2.1495566368103027,-0.05933173429072225,2.2230353355407715,-0.012051925035474031,2.626896858215332,-0.12914941506740618,2.4302022457122803,-0.013831787190359046,2.4799957275390625,0.009595591963350136,2.5585079193115234,-0.03165918818640456,2.4446980953216553,-0.012470186417892215,2.30082631111145,0.03125631165343534,2.2689998149871826,0.07418324563884193,2.3316614627838135,0.09174614056769115,2.2995002269744873,0.14605804551050217,2.251741647720337,0.19524937116135765,2.257223606109619,0.21761966020787438,2.4046974182128906,0.20700244652256428,2.2636775970458984,0.3007001577494549,2.319575071334839,0.3088083885869658,2.3863167762756348,0.29998830625634865,2.3690919876098633,0.3173994482833854,2.4151151180267334,0.29927159636734824,3.06565260887146,0.11427828472118418,2.3337085247039795,0.33136206517077715,2.347365140914917,0.3356977183854053,2.4260804653167725,0.3138833166215884,2.48990797996521,0.2934913778115251,2.4384584426879883,0.3212695339381957,2.498509407043457,0.31521401252916603,2.476987361907959,0.3394132962139883
