dataset,model,train_windows,val_windows,test_windows,look_back,horizon,training_time,inference_time,parameter_count,status,MAE,RMSE,MSE,R2,Skill_MAE,MAE@1,Skill@1,MAE@2,Skill@2,MAE@3,Skill@3,MAE@4,Skill@4,MAE@5,Skill@5,MAE@6,Skill@6,MAE@7,Skill@7,MAE@8,Skill@8,MAE@9,Skill@9,MAE@10,Skill@10,MAE@11,Skill@11,MAE@12,Skill@12,MAE@13,Skill@13,MAE@14,Skill@14,MAE@15,Skill@15,MAE@16,Skill@16,MAE@17,Skill@17,MAE@18,Skill@18,MAE@19,Skill@19,MAE@20,Skill@20,MAE@21,Skill@21,MAE@22,Skill@22,MAE@23,Skill@23,MAE@24,Skill@24,MAE@25,Skill@25,MAE@26,Skill@26,MAE@27,Skill@27,MAE@28,Skill@28,MAE@29,Skill@29,MAE@30,Skill@30
DD-EN-09#.xls,DeBiaFuseV2-direct,695,83,196,60,30,66.32184016599786,0.2127125420010998,235068,ok,3.0144290924072266,3.8117992820293534,14.529813766479492,-0.08604490756988525,-0.3627894764299262,2.800513505935669,-3.2503470805924435,2.2159194946289062,-0.9822933351533389,2.0488321781158447,-0.4598917426504465,2.376286268234253,-0.5066948438134324,2.5189599990844727,-0.4634524859600988,3.7792274951934814,-1.098728864724705,2.251102924346924,-0.21304175892281996,2.2525789737701416,-0.1798150744961109,2.662238836288452,-0.4164548034244846,3.204376459121704,-0.7776883210569525,2.594620704650879,-0.4909534475212822,2.9479434490203857,-0.6533380133849476,2.422400951385498,-0.29278110231170995,2.3230135440826416,-0.16877275696704763,2.8398892879486084,-0.34063869924936174,3.129896879196167,-0.41746839947921477,3.46923828125,-0.47997889324612353,2.8248653411865234,-0.1167271118823836,3.297305107116699,-0.25509813568026574,3.1621406078338623,-0.18090899061993682,2.9399189949035645,-0.08566838186034542,2.972602605819702,-0.10047793297958219,3.3230533599853516,-0.22437858018988455,3.141028642654419,-0.13393043347283928,3.3208577632904053,-0.17471932694129078,3.595879077911377,-0.2579338095155088,3.689033269882202,-0.2747136658962437,3.377779483795166,-0.12993891482290554,4.53269624710083,-0.46820850585283025,4.418670177459717,-0.3836872951523431
DD-ES-09#.xls,DeBiaFuseV2-direct,695,83,196,60,30,70.08356058299978,0.21143970800039824,235068,ok,3.683246612548828,4.42416204072288,19.573209762573242,-0.33132076263427734,-0.5558887606917489,3.2293739318847656,-3.4992487536735,2.9195315837860107,-1.4240594582717194,4.44531774520874,-1.9378836223943932,2.9580485820770264,-0.7263618229289288,3.360060930252075,-0.8038784536744166,2.625925064086914,-0.3366307982307184,2.5463757514953613,-0.2643113592265076,3.4243831634521484,-0.653799804025198,4.158294677734375,-1.0575570648291754,2.778613567352295,-0.42907829486674776,7.3795390129089355,-2.9261413762157398,3.347081422805786,-0.7308282534777946,4.031916618347168,-0.9868259910465802,2.9196057319641113,-0.3561694748646511,4.1426920890808105,-0.8214857558820317,2.8604867458343506,-0.20534742112787407,3.3241310119628906,-0.3271933829266074,3.3979971408843994,-0.25797202020101273,4.165169715881348,-0.4860094706587357,4.1006598472595215,-0.43055309728624813,3.2871062755584717,-0.13187419437703185,3.3271028995513916,-0.1495736120561686,3.3679730892181396,-0.15882217104278218,3.8035919666290283,-0.2919335685254967,3.978384256362915,-0.327281751673862,3.470097064971924,-0.14681951666140058,4.140105724334717,-0.35035827354331217,4.769263744354248,-0.5144084146595171,4.448428630828857,-0.37196585553199024,3.79013991355896,-0.13308823120617985
DD-WN-09#.xls,DeBiaFuseV2-direct,695,83,196,60,30,76.74410629100021,0.2850288339977851,235068,ok,4.851020336151123,5.370007880292115,28.836984634399414,-3.043248176574707,-1.6151958612186155,5.413765907287598,-8.739353992502789,5.089975833892822,-4.4112466040944955,5.97310733795166,-4.088954636691032,3.271674633026123,-1.4873135192045686,4.504372596740723,-2.175391536970907,4.157827377319336,-1.8100007468438597,4.3424859046936035,-1.8213589646278843,4.486643314361572,-1.8504694372372796,4.939798831939697,-2.165575787392176,4.5650954246521,-2.016169020412079,4.754080772399902,-2.2068680163080168,4.302186965942383,-1.783641002208749,3.393480062484741,-1.1046963667400505,4.56138277053833,-1.6732486862090021,5.829296112060547,-2.267805278161549,5.098231792449951,-1.7378968117928282,6.9523444175720215,-2.5541184005066406,6.006461143493652,-1.8448695080290762,6.555143356323242,-1.9598408974301282,4.6595659255981445,-1.0591973363959162,3.9033918380737305,-0.702067857066742,4.82491397857666,-1.0957296924094821,4.735053062438965,-1.0184021876519056,4.647189617156982,-0.9627054541060613,4.213136196136475,-0.7635103159996544,5.5937018394470215,-1.3474606423375426,5.632390022277832,-1.3521627511673215,3.0910532474517822,-0.262755274476127,4.739792346954346,-0.8885200957933206,5.29306697845459,-1.030974077940726
DD-WS-09#.xls,DeBiaFuseV2-direct,695,83,196,60,30,86.05877858299937,0.21761729200079571,235068,ok,3.181751012802124,3.8850826634630207,15.093867301940918,0.030204057693481445,-0.1273818962243709,2.3643741607666016,-1.776402589271747,2.339339017868042,-0.6500314807452865,2.3416435718536377,-0.30564621283015736,2.6968162059783936,-0.3290289446765251,2.733731746673584,-0.24454993248165025,2.5793416500091553,-0.10870821070055703,3.9881417751312256,-0.6637730092561696,3.4703524112701416,-0.3859105833916916,3.676414728164673,-0.48242927265025837,3.292875289916992,-0.36374224081623185,2.731387138366699,-0.15002772610224802,2.741544485092163,-0.11862848130690429,2.713789939880371,-0.05710465516813845,2.777961492538452,-0.03162323647866638,3.2559163570404053,-0.16363293205815999,2.8870649337768555,-0.0006907768359445399,2.739489793777466,0.09659789718724199,2.9750516414642334,0.08094105526416073,2.9148871898651123,0.13141609480625327,3.8808655738830566,-0.13842860703733972,3.4785847663879395,-0.0022759323604799597,3.381105899810791,0.018996269783140507,3.587337017059326,-0.03644564515829063,3.4896538257598877,0.00016865747149863441,3.307215452194214,0.06406091988426077,3.4440228939056396,0.026000332953787564,3.4821720123291016,0.011937561367919569,4.3030219078063965,-0.19772066393722532,4.179904937744141,-0.1456191928908559,3.698516845703125,0.013644118830651641
