dataset,model,train_windows,val_windows,test_windows,look_back,horizon,training_time,inference_time,parameter_count,status,MAE,RMSE,MSE,R2,Skill_MAE,MAE@1,Skill@1,MAE@2,Skill@2,MAE@3,Skill@3,MAE@4,Skill@4,MAE@5,Skill@5,MAE@6,Skill@6
DD-EN-09#.xls,DeBiaFuseV2-residual,755,107,220,24,6,61.796316791998834,0.09713416600061464,127500,ok,1.702603816986084,2.2790334724221166,5.19399356842041,0.7273449301719666,-0.060546955781447975,0.8338373303413391,-0.12402680411542799,1.3863164186477661,-0.0926161071940117,1.7484467029571533,-0.08613270856595112,1.9359843730926514,-0.049338279459396395,2.124851703643799,-0.04918763447012231,2.186185359954834,-0.020727516896863474
DD-ES-09#.xls,DeBiaFuseV2-residual,755,107,220,24,6,65.41266970799916,0.10155820799991488,127500,ok,1.7888425588607788,2.4490834370640906,5.99800968170166,0.7060895562171936,-0.04455874231106738,0.8596875071525574,-0.06595530369775071,1.4699785709381104,-0.08296302385420118,1.8280404806137085,-0.0666601606259376,2.0369772911071777,-0.035113174624982424,2.2080724239349365,-0.027987443478504126,2.3302996158599854,-0.021295730979382643
DD-WN-09#.xls,DeBiaFuseV2-residual,755,107,220,24,6,67.83369049999965,0.0915065000008326,127500,ok,1.4265464544296265,2.0279992721450975,4.112781047821045,0.6083967685699463,-0.033037549709595826,0.6835888028144836,-0.0586000197713592,1.1683152914047241,-0.062459997328818906,1.4417580366134644,-0.03479371663421804,1.6187745332717896,-0.019704643609331107,1.7667303085327148,-0.02080265528119618,1.8801116943359375,-0.02813399734262423
DD-WS-09#.xls,DeBiaFuseV2-residual,755,107,220,24,6,60.89755120799964,0.0810675419998006,127500,ok,2.0433716773986816,2.685062367515874,7.209559917449951,0.6487569808959961,-0.03481993207430656,0.9867842197418213,-0.051848790889525764,1.7358394861221313,-0.1069424749032688,2.1039834022521973,-0.057056332602495985,2.360633134841919,-0.04072597615494877,2.455867052078247,0.00271447782826284,2.6171233654022217,0.0011689868968279837
