dataset,model,train_windows,val_windows,test_windows,look_back,horizon,training_time,inference_time,parameter_count,status,MAE,RMSE,MSE,R2,Skill_MAE
DD-EN-09#.xls,DeBiaFuseV2-residual,722,102,210,24,6,50.96891558400239,0.07517870900119306,127500,ok,3.6361916065216064,4.692206702763112,22.016803741455078,-0.04746830463409424,-0.7751976675065453
DD-ES-09#.xls,DeBiaFuseV2-residual,722,102,210,24,6,54.6333262090011,0.06893016699905274,127500,ok,4.283090591430664,5.178238103502714,26.814149856567383,-0.19928014278411865,-0.9592640325652164
DD-WN-09#.xls,DeBiaFuseV2-residual,722,102,210,24,6,55.20305737500166,0.07682999999815365,127500,ok,2.774897575378418,3.667740462311497,13.452320098876953,-0.08819413185119629,-0.580367148499001
DD-WS-09#.xls,DeBiaFuseV2-residual,722,102,210,24,6,54.235847750001994,0.07500483300100313,127500,ok,3.9768240451812744,4.948790955514965,24.49053192138672,-0.07086169719696045,-0.6046201684292307
